id,sentence_restrictive,sentence_nonrestrictive,objects
0,The boy will eat the cake,The boy will move the cake,(toy car, ball, toy train)
1,The woman will drink the wine,The woman will try the wine,(cheese, lipstick, chair)
2,The policeman will arrest the man,The policeman will search the man,(car, dustbin, houses)
3,The woman will bathe the baby,The woman will touch the baby,(plant, rocking-horse, stool)
4,The boy will bounce the ball,The boy will throw the ball,(paper plane, shuttle-cock, acorns)
5,The hiker will climb the mountain,The hiker will photograph the mountain,(animal, moon, cactus)
6,The housewife will fry the mushrooms,The housewife will wash the mushrooms,(knife, jug, weighing scales)
7,The doctor will inject the child,The doctor will check the child,(TV monitor, microscope, toy bear)
8,The woman will play the piano,The woman will dust the piano,(table, television, telephone)
9,The woman will read the book,The woman will open the book,(door, bag, cup)
10,The man will repair the washing machine,The man will wipe the washing machine,(mirror, wastebin, dog)
11,The baby will ring the bell,The baby will kick the bell,(drum, bricks, duck)
12,The man will sail the boat,The man will watch the boat,(birds, car, sun)
13,The man will smoke the cigarettes,The man will collect the cigarettes,(filofax, glasses, briefcase)
14,The boy will walk the dog,The boy will feed the dog,(bird, hen, ball)
15,The businessman will wear the hat,The businessman will forget the hat,(wallet, folder, magnifying glass)
16,The woman will wear the dress,The woman will carry the dress,(lantern, ribbon, backpack)
17,The man will chop the wood,The man will move the wood,(bucket, rope, stone)
18,The boy will kick the football,The boy will touch the football,(stick, leaf, feather)
19,The chef will slice the bread,The chef will clean the bread,(spoon, bowl, spatula)
20,The baby will hug the kitten,The baby will grab the kitten,(block, cup, crayon)
21,The woman will water the flower,The woman will move the flower,(magazine, cushion, vase)
22,The girl will zip the coat,The girl will hang the coat,(hook, towel, poster)
23,The girl will knit the scarf,The girl will hold the scarf,(pencil, card, needle)
24,The girl will groom the rabbit,The girl will lift the rabbit,(plate, glass, potato)
25,The man will paint the canvas,The man will move the canvas,(keyboard, rope, peach)
26,The woman will blow out the candle,The woman will grab the candle,(package, coaster, coin)
27,The boy will dim the lamp,The boy will touch the lamp,(switch, picture, frame)
28,The cat will drink the milk,The cat will push the milk,(glove, sock, nut)
29,The grandmother will read the newspaper,The grandmother will turn the newspaper,(comb, tissue, eraser)
30,The girl will roll the dice,The girl will grab the dice,(cap, headphones, watch)
31,The woman will open the bottle,The woman will examine the bottle,(lemon, seed, sponge)
32,The woman will brew the beer,The woman will carry the beer,(mug, kettle, biscuit)
33,The boy will unzip the suitcase,The boy will open the suitcase,(envelope, gift, box)
34,The boy will switch on the radio,The boy will move the radio,(puzzle, pillow, notebook)
35,The girl will apply the mascara,The girl will squeeze the mascara,(brush, pot, mirror)
36,The kid will build the lego,The kid will stack the lego,(papers, clips, cards, boxes)
37,The boy will peel the banana,The boy will move the banana,(mitten, key, marker)
38,The woman will tie the apron,The woman will carry the apron,(mop, cloth, broom)
39,The boy will tie the shoelace,The boy will move the shoelace,(shampoo, buckle, mat)
40,The girl will button the blouse,The girl will hold the blouse,(pin, iron, toothbrush)
41,The boy will squeeze the orange,The boy will move the orange,(stone, shell, cone)
42,The woman will sew the shirt,The woman will wash the shirt,(apple, ruler, chalk)
43,The man will lock the safe,The man will wipe the safe,(pan, handle, bolt)
44,The baker will knead the dough,The baker will inspect the dough,(glass, hammer, ladle)
45,The chef will grate the carrot,The chef will carry the carrot,(ladle, pot, peeler)
46,The musician will tune the violin,The musician will move the violin,(bow, stand, gum)
47,The girl will vacuum the carpet,The girl will move the carpet,(dustpan, footstool, roller)
48,The child will inflate the balloon,The child will carry the balloon,(pump, pouch, flag)
49,The man will lick the stamp,The man will pick up the stamp,(envelope, scissors, rubber band)
