subject_id,trial,sentence,condition,target_object,first_saccade_chosen_object,first_saccade_latency_s,chose_target
subject-1,0,The housewife will  wash the mushrooms,non-restrictive,mushrooms,subject,0.1538,False
subject-1,1,The businessman will wear the hat,restrictive,hat,,,False
subject-1,2,The boy will tie the shoelace,restrictive,shoelace,,,False
subject-1,3,The woman will water the flower,restrictive,flower,subject,0.0782,False
subject-1,4,The woman will carry the apron,non-restrictive,apron,elsewhere,0.1034,False
subject-1,5,The boy will throw the ball,non-restrictive,ball,ball,0.1514,True
subject-1,6,The grandmother will read the newspaper,restrictive,newspaper,newspaper,0.4275,True
subject-1,7,The girl will knit the scarf,restrictive,scarf,subject,0.2723,False
subject-1,8,The chef will slice the bread,restrictive,bread,bread,0.1109,True
subject-1,9,The girl will hang the coat,non-restrictive,coat,elsewhere,0.0555,False
subject-1,10,The doctor will inject the child,restrictive,child,subject,0.0508,False
subject-1,11,The man will lock the safe,restrictive,safe,,,False
subject-1,12,The woman will dust the piano,non-restrictive,piano,piano,0.1495,True
subject-1,13,The girl will grab the dice,non-restrictive,dice,subject,0.6661,False
subject-1,14,The kid will stack the lego,non-restrictive,lego,,,False
subject-1,15,The baby will grab the kitten,non-restrictive,kitten,kitten,0.6155,True
subject-1,16,The hiker will climb the mountain,restrictive,mountain,mountain,0.0738,True
subject-1,17,The woman will drink the wine,restrictive,wine,lipstick,0.1763,False
subject-1,18,The woman will carry the beer,non-restrictive,beer,elsewhere,0.2249,False
subject-1,19,The woman will bathe the baby,restrictive,baby,baby,0.5426,True
subject-1,20,The policeman will search the man,non-restrictive,man,,,False
subject-1,21,The musician will move the violin,non-restrictive,violin,,,False
subject-1,22,The woman will  carry the dress,non-restrictive,dress,ribbon,0.117,False
subject-1,23,The boy will touch the football,non-restrictive,football,football,0.2069,True
subject-1,24,The boy will dim the lamp,restrictive,lamp,lamp,0.1266,True
subject-1,25,The man will smoke the cigarettes,restrictive,cigarettes,elsewhere,0.4329,False
