subject_id,trial,sentence_id,condition,sentence,target_position,n_saccades_detected,n_saccades_after_verb_onset,first_saccade_latency_s,first_saccade_duration_s,first_saccade_peak_vel_deg_s,first_saccade_landing_aoi,first_saccade_is_target,first_saccade_is_object,rawsample_prop_pos1,saccade_prop_pos1,rawsample_prop_pos2,saccade_prop_pos2,rawsample_prop_pos3,saccade_prop_pos3,rawsample_prop_pos4,saccade_prop_pos4,prop_target_critical_window,saccade_prop_target,no_object_gaze_critical_window,n_saccades_landed_critical_window,target_object,first_saccade_chosen_object
subject-1,0,6,non-restrictive,The housewife will  wash the mushrooms,3,14,4,0.1538,0.0339,223.3,subject,False,False,,,,,,,,,,,True,0,mushrooms,subject
subject-1,1,42,non-restrictive,The woman will wash the shirt,3,9,1,1.6221,0.0603,273.3,pos4,False,True,,,,,,,,,,,True,0,shirt,apple
subject-1,2,12,non-restrictive,The man will watch the boat,1,14,4,0.5675,0.0532,456.1,pos4,False,True,,,,,,,,,,,True,0,boat,car
subject-1,3,48,non-restrictive,The child will carry the balloon,1,10,4,0.0362,0.0334,331.0,subject,False,False,,,,,,,,,,,True,0,balloon,subject
subject-1,4,49,restrictive,The man will lick the stamp,2,11,5,0.1454,0.0134,220.7,elsewhere,False,False,,,,,,,,,,,True,1,stamp,elsewhere
subject-1,5,10,non-restrictive,The man will wipe the washing machine,3,8,4,0.1305,0.0464,287.9,pos1,False,True,0.6136,0.0,0.0,0.0,0.3864,1.0,0.0,0.0,0.3864,1.0,False,1,washing-machine,dog
subject-1,6,9,restrictive,The woman will read the book,2,15,2,0.1475,0.0334,332.4,subject,False,False,,,,,,,,,,,True,0,book,subject
subject-1,7,37,restrictive,The boy will peel the banana,2,11,5,0.3353,0.0469,374.5,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,2,banana,subject
subject-1,8,31,restrictive,The woman will open the bottle,4,11,1,1.0281,0.0469,389.0,subject,False,False,0.0,,0.0,,0.0,,1.0,,1.0,,False,0,bottle,subject
subject-1,9,28,non-restrictive,The cat will push the milk,1,14,5,0.1605,0.0269,189.8,elsewhere,False,False,,,,,,,,,,,True,1,milk,elsewhere
subject-1,10,33,restrictive,The boy will unzip the suitcase,2,11,4,0.1978,0.0332,299.1,subject,False,False,,,,,,,,,,,True,0,suitcase,subject
subject-1,11,25,restrictive,The man will paint the canvas,2,12,4,0.669,0.0335,208.5,elsewhere,False,False,,,,,,,,,,,True,0,canvas,elsewhere
subject-1,12,17,restrictive,The man will chop the wood,2,11,6,0.2125,0.0537,404.8,pos1,False,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,wood,rope
subject-1,13,14,non-restrictive,The boy will feed the dog,3,9,3,0.7921,0.0132,162.3,subject,False,False,,,,,,,,,,,True,0,dog,subject
