id,image_nosub,image_sub,position1,position2,position3,position4,audio_file,sentence,condition,target_position,timeout
0,1_pos3_nosub.png,1_pos3_sub.png,toy-train,ball,cake,toy-car,0_r.wav,The boy will eat the cake,restrictive,3,3000
1,2_pos4_nosub.png,2_pos4_sub.png,cheese,chair,lipstick,wine,1_r.wav,The woman will drink the wine,restrictive,4,3000
2,3_pos1_nosub.png,3_pos1_sub.png,man,car,houses,dustbin,2_r.wav,The policeman will arrest the man,restrictive,1,3000
3,4_pos2_nosub.png,4_pos2_sub.png,rocking-horse,baby,plant,stool,3_r.wav,The woman will bathe the baby,restrictive,2,3000
4,5_pos3_nosub.png,5_pos3_sub.png,acorns,shuttle-cock,ball,paper-plane,4_r.wav,The boy will bounce the ball,restrictive,3,3000
5,6_pos4_nosub.png,6_pos4_sub.png,animal,cactus,moon,mountain,5_r.wav,The hiker will climb the mountain,restrictive,4,3000
6,7_pos1_nosub.png,7_pos1_sub.png,mushrooms,knife,weighing-scales,jug,6_r.wav,The housewife will fry the mushrooms,restrictive,1,3000
7,8_pos2_nosub.png,8_pos2_sub.png,microscope,child,tv-monitor,toy-bear,7_r.wav,The doctor will inject the child,restrictive,2,3000
8,9_pos3_nosub.png,9_pos3_sub.png,telephone,television,piano,table,8_r.wav,The woman will play the piano,restrictive,3,3000
9,10_pos4_nosub.png,10_pos4_sub.png,door,cup,bag,book,9_r.wav,The woman will read the book,restrictive,4,3000
10,11_pos1_nosub.png,11_pos1_sub.png,washing-machine,mirror,dog,wastebin,10_r.wav,The man will repair the washing machine,restrictive,1,3000
11,12_pos2_nosub.png,12_pos2_sub.png,bricks,bell,drum,duck,11_r.wav,The baby will ring the bell,restrictive,2,3000
12,13_pos3_nosub.png,13_pos3_sub.png,sun,car,boat,birds,12_r.wav,The man will sail the boat,restrictive,3,3000
13,14_pos4_nosub.png,14_pos4_sub.png,filofax,briefcase,glasses,cigarettes,13_r.wav,The man will smoke the cigarettes,restrictive,4,3000
14,15_pos1_nosub.png,15_pos1_sub.png,dog,bird,ball,hen,14_r.wav,The boy will walk the dog,restrictive,1,3000
15,16_pos2_nosub.png,16_pos2_sub.png,folder,hat,wallet,magnifying-glass,15_r.wav,The businessman will wear the hat,restrictive,2,3000
16,17_pos3_nosub.png,17_pos3_sub.png,backpack,ribbon,dress,lantern,16_r.wav,The woman will wear the dress,restrictive,3,3000
17,18_pos4_nosub.png,18_pos4_sub.png,bucket,stone,rope,wood,17_r.wav,The man will chop the wood,restrictive,4,3000
18,19_pos1_nosub.png,19_pos1_sub.png,football,stick,feather,leaf,18_r.wav,The boy will kick the football,restrictive,1,3000
19,20_pos2_nosub.png,20_pos2_sub.png,bowl,bread,spoon,spatula,19_r.wav,The chef will slice the bread,restrictive,2,3000
20,21_pos3_nosub.png,21_pos3_sub.png,crayon,cup,kitten,block,20_r.wav,The baby will hug the kitten,restrictive,3,3000
21,22_pos4_nosub.png,22_pos4_sub.png,magazine,vase,cushion,flower,21_r.wav,The woman will water the flower,restrictive,4,3000
22,23_pos1_nosub.png,23_pos1_sub.png,coat,hook,poster,towel,22_r.wav,The girl will zip the coat,restrictive,1,3000
23,24_pos2_nosub.png,24_pos2_sub.png,card,scarf,pencil,needle,23_r.wav,The girl will knit the scarf,restrictive,2,3000
24,25_pos3_nosub.png,25_pos3_sub.png,potato,glass,rabbit,plate,24_r.wav,The girl will groom the rabbit,restrictive,3,3000
25,26_pos4_nosub.png,26_pos4_sub.png,keyboard,peach,rope,canvas,25_n.wav,The man will move the canvas,non-restrictive,4,3000
26,27_pos1_nosub.png,27_pos1_sub.png,candle,package,coin,coaster,26_n.wav,The woman will blow grab the candle,non-restrictive,1,3000
27,28_pos2_nosub.png,28_pos2_sub.png,picture,lamp,switch,frame,27_n.wav,The boy will touch the lamp,non-restrictive,2,3000
28,29_pos3_nosub.png,29_pos3_sub.png,nut,sock,milk,glove,28_n.wav,The cat will push the milk,non-restrictive,3,3000
29,30_pos4_nosub.png,30_pos4_sub.png,comb,eraser,tissue,newspaper,29_n.wav,The grandmother will eadturn the newspaper,non-restrictive,4,3000
30,31_pos1_nosub.png,31_pos1_sub.png,dice,cap,watch,headphones,30_n.wav,The girl will grab the dice,non-restrictive,1,3000
31,32_pos2_nosub.png,32_pos2_sub.png,seed,bottle,lemon,sponge,31_n.wav,The woman will examine the bottle,non-restrictive,2,3000
32,33_pos3_nosub.png,33_pos3_sub.png,biscuit,kettle,beer,mug,32_n.wav,The woman will carry the beer,non-restrictive,3,3000
33,34_pos4_nosub.png,34_pos4_sub.png,envelope,box,gift,suitcase,33_n.wav,The boy will open the suitcase,non-restrictive,4,3000
34,35_pos1_nosub.png,35_pos1_sub.png,radio,puzzle,notebook,pillow,34_n.wav,The boy will move the radio,non-restrictive,1,3000
35,36_pos2_nosub.png,36_pos2_sub.png,pot,mascara,brush,mirror,35_n.wav,The girl will squeeze the mascara,non-restrictive,2,3000
36,37_pos3_nosub.png,37_pos3_sub.png,boxes,clips,lego,papers,36_n.wav,The kid will stack the lego,non-restrictive,3,3000
37,38_pos4_nosub.png,38_pos4_sub.png,mitten,marker,key,banana,37_n.wav,The boy will move the banana,non-restrictive,4,3000
38,39_pos1_nosub.png,39_pos1_sub.png,apron,mop,broom,cloth,38_n.wav,The woman will carry the apron,non-restrictive,1,3000
39,40_pos2_nosub.png,40_pos2_sub.png,buckle,shoelace,shampoo,mat,39_n.wav,The boy will move the shoelace,non-restrictive,2,3000
40,41_pos3_nosub.png,41_pos3_sub.png,toothbrish,iron,blouse,pin,40_n.wav,The girl will hold the blouse,non-restrictive,3,3000
41,42_pos4_nosub.png,42_pos4_sub.png,stone,cone,shell,orange,41_n.wav,The boy will move the orange,non-restrictive,4,3000
42,43_pos1_nosub.png,43_pos1_sub.png,shirt,apple,chalk,ruler,42_n.wav,The woman will wash the shirt,non-restrictive,1,3000
43,44_pos2_nosub.png,44_pos2_sub.png,handle,safe,pan,bolt,43_n.wav,The man will wipe the safe,non-restrictive,2,3000
44,45_pos3_nosub.png,45_pos3_sub.png,ladle,hammer,dough,glass,44_n.wav,The baker will inspect the dough,non-restrictive,3,3000
45,46_pos4_nosub.png,46_pos4_sub.png,laddle,peeler,pot,carrot,45_n.wav,The chef will carry the carrot,non-restrictive,4,3000
46,47_pos1_nosub.png,47_pos1_sub.png,violin,bow,gum,stand,46_n.wav,The musician will move the violin,non-restrictive,1,3000
47,48_pos2_nosub.png,48_pos2_sub.png,footstool,carpet,dustpan,roller,47_n.wav,The girl will move the carpet,non-restrictive,2,3000
48,49_pos3_nosub.png,49_pos3_sub.png,flag,pouch,balloon,pump,48_n.wav,The child will carry the balloon,non-restrictive,3,3000
49,50_pos4_nosub.png,50_pos4_sub.png,envelope,rubberband,scissors,stamp,49_n.wav,The man will pick up the stamp,non-restrictive,4,3000
