subject_id,trial,sentence,condition,target_object,first_saccade_chosen_object,first_saccade_latency_s,chose_target
subject-1,0,The housewife will  wash the mushrooms,non-restrictive,mushrooms,elsewhere,0.1004,False
subject-1,1,The businessman will wear the hat,restrictive,hat,subject,0.113,False
subject-1,2,The boy will tie the shoelace,restrictive,shoelace,elsewhere,0.1827,False
subject-1,3,The woman will water the flower,restrictive,flower,elsewhere,0.0782,False
subject-1,4,The woman will carry the apron,non-restrictive,apron,elsewhere,0.0228,False
subject-1,5,The boy will throw the ball,non-restrictive,ball,subject,0.1449,False
subject-1,6,The grandmother will read the newspaper,restrictive,newspaper,subject,0.0791,False
subject-1,7,The girl will knit the scarf,restrictive,scarf,elsewhere,0.0245,False
subject-1,8,The chef will slice the bread,restrictive,bread,elsewhere,0.0169,False
subject-1,9,The girl will hang the coat,non-restrictive,coat,subject,0.0689,False
subject-1,10,The doctor will inject the child,restrictive,child,subject,0.0709,False
subject-1,11,The man will lock the safe,restrictive,safe,subject,0.6415,False
subject-1,12,The woman will dust the piano,non-restrictive,piano,elsewhere,0.056,False
subject-1,13,The girl will grab the dice,non-restrictive,dice,subject,0.003,False
subject-1,14,The kid will stack the lego,non-restrictive,lego,subject,0.1036,False
subject-1,15,The baby will grab the kitten,non-restrictive,kitten,subject,0.3138,False
subject-1,16,The hiker will climb the mountain,restrictive,mountain,elsewhere,0.0274,False
subject-1,17,The woman will drink the wine,restrictive,wine,elsewhere,0.0089,False
subject-1,18,The woman will carry the beer,non-restrictive,beer,elsewhere,0.0709,False
subject-1,19,The woman will bathe the baby,restrictive,baby,elsewhere,0.014,False
subject-1,20,The policeman will search the man,non-restrictive,man,man,1.1043,True
subject-1,21,The musician will move the violin,non-restrictive,violin,elsewhere,0.2725,False
subject-1,22,The woman will  carry the dress,non-restrictive,dress,subject,0.0899,False
subject-1,23,The boy will touch the football,non-restrictive,football,elsewhere,0.0394,False
subject-1,24,The boy will dim the lamp,restrictive,lamp,elsewhere,0.1065,False
subject-1,25,The man will smoke the cigarettes,restrictive,cigarettes,subject,0.3189,False
subject-1,26,The girl will lift the rabbit,non-restrictive,rabbit,elsewhere,0.1746,False
subject-1,27,The woman will wash the shirt,non-restrictive,shirt,elsewhere,0.0816,False
subject-1,28,The man will watch the boat,non-restrictive,boat,elsewhere,0.0116,False
subject-1,29,The child will carry the balloon,non-restrictive,balloon,subject,0.0494,False
subject-1,30,The man will lick the stamp,restrictive,stamp,rubberband,0.0587,False
subject-1,31,The man will wipe the washing machine,non-restrictive,washing-machine,dog,0.5592,False
subject-1,32,The woman will read the book,restrictive,book,subject,0.1412,False
subject-1,33,The boy will peel the banana,restrictive,banana,key,0.4891,False
subject-1,34,The woman will open the bottle,restrictive,bottle,subject,0.4053,False
subject-1,35,The cat will push the milk,non-restrictive,milk,elsewhere,0.3351,False
subject-1,36,The boy will unzip the suitcase,restrictive,suitcase,box,0.2108,False
subject-1,37,The man will paint the canvas,restrictive,canvas,peach,0.3473,False
subject-1,38,The man will chop the wood,restrictive,wood,subject,0.1458,False
subject-1,39,The boy will feed the dog,non-restrictive,dog,ball,0.0489,False
subject-1,40,The girl will apply the mascara,restrictive,mascara,subject,0.0853,False
subject-1,41,The baker will inspect the dough,non-restrictive,dough,elsewhere,0.1385,False
subject-1,42,The baby will ring the bell,restrictive,bell,elsewhere,0.1524,False
subject-1,43,The boy will move the radio,non-restrictive,radio,elsewhere,0.2581,False
subject-1,44,The girl will vacuum the carpet,restrictive,carpet,elsewhere,0.0206,False
subject-1,45,The chef will grate the carrot,restrictive,carrot,subject,0.1637,False
subject-1,46,The woman will blow grab the candle,non-restrictive,candle,subject,0.2025,False
subject-1,47,The boy will squeeze the orange,restrictive,orange,elsewhere,0.0982,False
subject-1,48,The boy will move the cake,non-restrictive,cake,elsewhere,0.006,False
subject-1,49,The girl will hold the blouse,non-restrictive,blouse,subject,0.0682,False
subject-19,0,The child will carry the balloon,non-restrictive,balloon,elsewhere,0.1097,False
subject-19,1,The woman will open the bottle,restrictive,bottle,elsewhere,0.2646,False
subject-19,2,The girl will knit the scarf,restrictive,scarf,elsewhere,0.1983,False
subject-19,3,The girl will hold the blouse,non-restrictive,blouse,elsewhere,0.0353,False
subject-19,4,The kid will stack the lego,non-restrictive,lego,subject,0.0437,False
subject-19,5,The girl will apply the mascara,restrictive,mascara,elsewhere,0.6615,False
subject-19,6,The boy will unzip the suitcase,restrictive,suitcase,elsewhere,0.5858,False
subject-19,7,The boy will peel the banana,restrictive,banana,marker,0.3684,False
subject-19,8,The baker will inspect the dough,non-restrictive,dough,elsewhere,0.3929,False
subject-19,9,The hiker will climb the mountain,restrictive,mountain,elsewhere,0.0805,False
subject-19,10,The boy will dim the lamp,restrictive,lamp,elsewhere,0.0326,False
subject-19,11,The grandmother will read the newspaper,restrictive,newspaper,elsewhere,0.0788,False
subject-19,12,The man will chop the wood,restrictive,wood,elsewhere,0.1656,False
subject-19,13,The housewife will  wash the mushrooms,non-restrictive,mushrooms,elsewhere,0.2479,False
subject-19,14,The baby will ring the bell,restrictive,bell,elsewhere,0.3474,False
subject-19,15,The baby will grab the kitten,non-restrictive,kitten,elsewhere,0.8573,False
subject-19,16,The woman will wash the shirt,non-restrictive,shirt,elsewhere,0.1953,False
subject-19,17,The musician will move the violin,non-restrictive,violin,elsewhere,0.1257,False
subject-19,18,The woman will  carry the dress,non-restrictive,dress,elsewhere,0.0165,False
subject-19,19,The chef will slice the bread,restrictive,bread,elsewhere,0.3322,False
subject-19,20,The boy will touch the football,non-restrictive,football,elsewhere,0.1468,False
subject-19,21,The boy will squeeze the orange,restrictive,orange,elsewhere,0.064,False
subject-19,22,The boy will tie the shoelace,restrictive,shoelace,elsewhere,0.7519,False
subject-19,23,The boy will throw the ball,non-restrictive,ball,elsewhere,1.0959,False
subject-19,24,The girl will hang the coat,non-restrictive,coat,hook,1.3621,False
subject-19,25,The businessman will wear the hat,restrictive,hat,elsewhere,0.0066,False
subject-19,26,The man will smoke the cigarettes,restrictive,cigarettes,subject,0.5127,False
subject-19,27,The man will watch the boat,non-restrictive,boat,car,0.253,False
subject-19,28,The chef will grate the carrot,restrictive,carrot,elsewhere,0.0364,False
subject-19,29,The woman will blow grab the candle,non-restrictive,candle,package,0.45,False
subject-19,30,The man will paint the canvas,restrictive,canvas,elsewhere,0.1534,False
subject-19,31,The woman will carry the apron,non-restrictive,apron,elsewhere,0.0232,False
subject-19,32,The woman will bathe the baby,restrictive,baby,elsewhere,0.5027,False
subject-19,33,The policeman will search the man,non-restrictive,man,elsewhere,0.2139,False
subject-19,34,The boy will move the radio,non-restrictive,radio,elsewhere,0.0503,False
subject-19,35,The girl will vacuum the carpet,restrictive,carpet,elsewhere,0.0743,False
subject-19,36,The man will wipe the washing machine,non-restrictive,washing-machine,elsewhere,0.0302,False
subject-19,37,The woman will drink the wine,restrictive,wine,elsewhere,0.0895,False
subject-19,38,The woman will water the flower,restrictive,flower,elsewhere,0.0448,False
subject-19,39,The girl will grab the dice,non-restrictive,dice,elsewhere,0.1836,False
subject-19,40,The cat will push the milk,non-restrictive,milk,subject,0.1542,False
subject-19,41,The woman will carry the beer,non-restrictive,beer,kettle,0.0707,False
subject-19,42,The girl will lift the rabbit,non-restrictive,rabbit,glass,0.0473,False
subject-19,43,The woman will read the book,restrictive,book,elsewhere,0.0676,False
subject-19,44,The woman will dust the piano,non-restrictive,piano,elsewhere,0.3573,False
subject-19,45,The man will lick the stamp,restrictive,stamp,elsewhere,0.0451,False
subject-19,46,The boy will feed the dog,non-restrictive,dog,elsewhere,0.0151,False
subject-19,47,The boy will move the cake,non-restrictive,cake,subject,0.0393,False
subject-19,48,The doctor will inject the child,restrictive,child,elsewhere,0.1844,False
subject-19,49,The man will lock the safe,restrictive,safe,elsewhere,0.0049,False
subject-20,0,The woman will touch the baby,non-restrictive,baby,elsewhere,0.0167,False
subject-20,1,The man will repair the washing machine,restrictive,washing-machine,subject,0.1888,False
subject-20,2,The cat will drink the milk,restrictive,milk,subject,0.0299,False
subject-20,3,The housewife will fry the mushrooms,restrictive,mushrooms,subject,0.1189,False
subject-20,4,The woman will move the flower,non-restrictive,flower,subject,0.0094,False
subject-20,5,The man will sail the boat,restrictive,boat,subject,0.1434,False
subject-20,6,The hiker will photograph the mountain,non-restrictive,mountain,subject,0.6436,False
subject-20,7,The baby will kick the bell,non-restrictive,bell,subject,0.0206,False
subject-20,8,The woman will sew the shirt,restrictive,shirt,subject,0.8719,False
subject-20,9,The girl will hold the scarf,non-restrictive,scarf,subject,0.3104,False
subject-20,10,The man will pick up the stamp,non-restrictive,stamp,subject,0.816,False
subject-20,11,The boy will eat the cake,restrictive,cake,subject,0.1456,False
subject-20,12,The boy will bounce the ball,restrictive,ball,subject,0.1004,False
subject-20,13,The kid will build the lego,restrictive,lego,subject,0.2471,False
subject-20,14,The girl will zip the coat,restrictive,coat,elsewhere,0.3756,False
subject-20,15,The boy will move the orange,non-restrictive,orange,subject,0.0475,False
subject-20,16,The musician will tune the violin,restrictive,violin,subject,0.1167,False
subject-20,17,The woman will blow out the candle,restrictive,candle,subject,0.316,False
subject-20,18,The girl will button the blouse,restrictive,blouse,elsewhere,0.5037,False
subject-20,19,The woman will open the book,non-restrictive,book,subject,0.0684,False
subject-20,21,The boy will kick the football,restrictive,football,subject,1.0167,False
subject-20,22,The man will wipe the safe,non-restrictive,safe,subject,0.2462,False
subject-20,23,The woman will examine the bottle,non-restrictive,bottle,subject,0.0262,False
subject-20,24,The man will move the canvas,non-restrictive,canvas,rope,0.8341,False
subject-20,25,The woman will try the wine,non-restrictive,wine,subject,0.3709,False
subject-20,26,The child will inflate the balloon,restrictive,balloon,subject,0.129,False
subject-20,27,The girl will move the carpet,non-restrictive,carpet,subject,0.2195,False
subject-20,28,The grandmother will eadturn the newspaper,non-restrictive,newspaper,subject,0.1208,False
subject-20,29,The chef will carry the carrot,non-restrictive,carrot,subject,0.2799,False
subject-20,30,The girl will roll the dice,restrictive,dice,subject,0.0872,False
subject-20,31,The chef will clean the bread,non-restrictive,bread,subject,0.026,False
subject-20,32,The boy will open the suitcase,non-restrictive,suitcase,subject,0.1632,False
subject-20,33,The woman will play the piano,restrictive,piano,elsewhere,0.5655,False
subject-20,34,The businessman will  forget the hat,non-restrictive,hat,folder,0.0188,False
subject-20,35,The policeman will arrest the man,restrictive,man,subject,0.2002,False
subject-20,36,The baker will knead the dough,restrictive,dough,elsewhere,0.1646,False
subject-20,37,The man will  move the wood,non-restrictive,wood,elsewhere,0.472,False
subject-20,38,The boy will touch the lamp,non-restrictive,lamp,subject,0.0951,False
subject-20,39,The woman will brew the beer,restrictive,beer,elsewhere,0.0694,False
subject-20,40,The boy will move the banana,non-restrictive,banana,subject,0.18,False
subject-20,41,The girl will groom the rabbit,restrictive,rabbit,subject,0.1427,False
subject-20,42,The baby will hug the kitten,restrictive,kitten,subject,0.1748,False
subject-20,43,The boy will move the shoelace,non-restrictive,shoelace,elsewhere,0.7166,False
subject-20,44,The doctor will check the child,non-restrictive,child,microscope,0.0621,False
subject-20,45,The man will  collect the cigarettes,non-restrictive,cigarettes,subject,0.0113,False
subject-20,46,The boy will walk the dog,restrictive,dog,hen,0.6708,False
subject-20,47,The woman will tie the apron,restrictive,apron,subject,0.7743,False
subject-20,48,The girl will squeeze the mascara,non-restrictive,mascara,subject,0.0023,False
subject-20,49,The woman will wear the dress,restrictive,dress,elsewhere,0.0089,False
subject-21,0,The policeman will search the man,non-restrictive,man,elsewhere,0.04,False
subject-21,1,The woman will drink the wine,restrictive,wine,elsewhere,0.25,False
subject-21,2,The musician will move the violin,non-restrictive,violin,elsewhere,0.1993,False
subject-21,3,The kid will stack the lego,non-restrictive,lego,elsewhere,0.1505,False
subject-21,4,The grandmother will read the newspaper,restrictive,newspaper,elsewhere,0.4743,False
subject-21,5,The baby will ring the bell,restrictive,bell,elsewhere,0.0122,False
subject-21,6,The woman will  carry the dress,non-restrictive,dress,elsewhere,0.3582,False
subject-21,7,The girl will grab the dice,non-restrictive,dice,elsewhere,0.0099,False
subject-21,8,The boy will move the cake,non-restrictive,cake,elsewhere,0.0861,False
subject-21,9,The woman will water the flower,restrictive,flower,elsewhere,0.2053,False
subject-21,10,The man will wipe the washing machine,non-restrictive,washing-machine,elsewhere,0.117,False
subject-21,11,The man will lick the stamp,restrictive,stamp,elsewhere,0.0384,False
subject-21,12,The boy will throw the ball,non-restrictive,ball,elsewhere,0.2991,False
subject-21,13,The boy will touch the football,non-restrictive,football,elsewhere,0.1464,False
subject-21,14,The woman will bathe the baby,restrictive,baby,elsewhere,0.7373,False
subject-21,15,The boy will tie the shoelace,restrictive,shoelace,subject,0.7053,False
subject-21,16,The housewife will  wash the mushrooms,non-restrictive,mushrooms,elsewhere,0.3821,False
subject-21,17,The chef will slice the bread,restrictive,bread,elsewhere,0.0844,False
subject-21,18,The boy will squeeze the orange,restrictive,orange,elsewhere,0.9952,False
subject-21,19,The girl will hold the blouse,non-restrictive,blouse,elsewhere,0.0079,False
subject-21,20,The man will smoke the cigarettes,restrictive,cigarettes,elsewhere,0.0911,False
subject-21,21,The boy will unzip the suitcase,restrictive,suitcase,elsewhere,0.0698,False
subject-21,22,The boy will peel the banana,restrictive,banana,elsewhere,0.0804,False
subject-21,23,The girl will knit the scarf,restrictive,scarf,elsewhere,0.0777,False
subject-21,24,The cat will push the milk,non-restrictive,milk,elsewhere,0.1134,False
subject-21,25,The man will lock the safe,restrictive,safe,subject,0.052,False
subject-21,26,The baby will grab the kitten,non-restrictive,kitten,elsewhere,0.14,False
