subject_id,trial,sentence_id,condition,sentence,target_position,n_saccades_detected,n_saccades_after_verb_onset,first_saccade_latency_s,first_saccade_duration_s,first_saccade_peak_vel_deg_s,first_saccade_landing_aoi,first_saccade_is_target,first_saccade_is_object,rawsample_prop_pos1,saccade_prop_pos1,rawsample_prop_pos2,saccade_prop_pos2,rawsample_prop_pos3,saccade_prop_pos3,rawsample_prop_pos4,saccade_prop_pos4,prop_target_critical_window,saccade_prop_target,no_object_gaze_critical_window,n_saccades_landed_critical_window,target_object,first_saccade_chosen_object
subject-1,0,6,non-restrictive,The housewife will  wash the mushrooms,3,14,4,0.1538,0.0339,223.3,subject,False,False,,,,,,,,,,,True,0,mushrooms,subject
subject-1,1,15,restrictive,The businessman will wear the hat,4,9,1,1.1181,0.0603,273.3,elsewhere,False,False,,,,,,,,,,,True,0,hat,elsewhere
subject-1,2,39,restrictive,The boy will tie the shoelace,4,14,4,0.6515,0.0532,456.1,elsewhere,False,False,,,,,,,,,,,True,0,shoelace,elsewhere
subject-1,3,21,restrictive,The woman will water the flower,2,10,4,0.0782,0.0334,331.0,subject,False,False,,,,,,,,,,,True,0,flower,subject
subject-1,4,38,non-restrictive,The woman will carry the apron,3,11,5,0.1034,0.0134,220.7,elsewhere,False,False,,,,,,,,,,,True,1,apron,elsewhere
subject-1,5,4,non-restrictive,The boy will throw the ball,1,8,4,0.1514,0.0464,287.9,pos1,True,True,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,ball,ball
subject-1,6,29,restrictive,The grandmother will read the newspaper,2,15,1,0.4275,0.0469,374.1,elsewhere,False,False,,,,,,,,,,,True,1,newspaper,elsewhere
subject-1,7,23,restrictive,The girl will knit the scarf,4,11,5,0.2723,0.0469,374.5,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,scarf,elsewhere
subject-1,8,19,restrictive,The chef will slice the bread,4,11,2,0.1109,0.0535,486.4,elsewhere,False,False,0.0,,0.0,,0.0,,1.0,,1.0,,False,0,bread,elsewhere
subject-1,9,22,non-restrictive,The girl will hang the coat,3,14,5,0.0555,0.0269,189.8,subject,False,False,,,,,,,,,,,True,0,coat,subject
subject-1,10,7,restrictive,The doctor will inject the child,4,11,4,0.0508,0.0332,299.1,subject,False,False,,,,,,,,,,,True,0,child,subject
