subject_id,trial,sentence_id,condition,sentence,target_position,n_saccades_detected,n_saccades_after_verb_onset,first_saccade_latency_s,first_saccade_duration_s,first_saccade_peak_vel_deg_s,first_saccade_landing_aoi,first_saccade_is_target,first_saccade_is_object,saccade_prop_pos1,saccade_prop_pos2,saccade_prop_pos3,saccade_prop_pos4,saccade_prop_target,n_saccades_landed_critical_window,target_object,first_saccade_chosen_object
subject-1,0,6,non-restrictive,The housewife will  wash the mushrooms,3,14,1,0.1538,0.0339,223.3,subject,False,False,,,,,,1,mushrooms,subject
subject-1,1,15,restrictive,The businessman will wear the hat,4,9,0,,,,,,,,,,,,0,hat,
subject-1,2,39,restrictive,The boy will tie the shoelace,4,14,0,,,,,,,,,,,,0,shoelace,
subject-1,3,21,restrictive,The woman will water the flower,2,10,1,0.0782,0.0334,331.0,subject,False,False,,,,,,1,flower,subject
subject-1,4,38,non-restrictive,The woman will carry the apron,3,11,3,0.1034,0.0134,220.7,elsewhere,False,False,,,,,,3,apron,elsewhere
subject-1,5,4,non-restrictive,The boy will throw the ball,1,8,1,0.1514,0.0464,287.9,pos1,True,True,1.0,0.0,0.0,0.0,1.0,1,ball,ball
subject-1,6,29,restrictive,The grandmother will read the newspaper,2,15,1,0.4275,0.0469,374.1,pos2,True,True,0.0,1.0,0.0,0.0,1.0,1,newspaper,newspaper
subject-1,7,23,restrictive,The girl will knit the scarf,4,11,1,0.2723,0.0469,374.5,subject,False,False,,,,,,1,scarf,subject
subject-1,8,19,restrictive,The chef will slice the bread,4,11,1,0.1109,0.0535,486.4,pos4,True,True,0.0,0.0,0.0,1.0,1.0,1,bread,bread
subject-1,9,22,non-restrictive,The girl will hang the coat,3,14,2,0.0555,0.0269,189.8,elsewhere,False,False,,,,,,2,coat,elsewhere
subject-1,10,7,restrictive,The doctor will inject the child,4,11,1,0.0508,0.0332,299.1,subject,False,False,,,,,,1,child,subject
subject-1,11,43,restrictive,The man will lock the safe,4,12,0,,,,,,,,,,,,0,safe,
subject-1,12,8,non-restrictive,The woman will dust the piano,1,11,2,0.1495,0.0537,404.8,pos1,True,True,1.0,0.0,0.0,0.0,1.0,2,piano,piano
subject-1,13,30,non-restrictive,The girl will grab the dice,3,9,1,0.6661,0.0132,162.3,subject,False,False,,,,,,0,dice,subject
subject-1,14,36,non-restrictive,The kid will stack the lego,1,11,0,,,,,,,,,,,,0,lego,
subject-1,15,20,non-restrictive,The baby will grab the kitten,1,13,1,0.6155,0.0469,365.3,pos1,True,True,1.0,0.0,0.0,0.0,1.0,1,kitten,kitten
subject-1,16,5,restrictive,The hiker will climb the mountain,2,13,1,0.0738,0.0671,413.8,pos2,True,True,0.0,1.0,0.0,0.0,1.0,1,mountain,mountain
subject-1,17,1,restrictive,The woman will drink the wine,2,9,1,0.1763,0.0737,326.7,pos1,False,True,0.5,0.0,0.0,0.5,0.0,2,wine,lipstick
subject-1,18,32,non-restrictive,The woman will carry the beer,1,12,2,0.2249,0.0268,317.9,elsewhere,False,False,,,,,,2,beer,elsewhere
subject-1,19,3,restrictive,The woman will bathe the baby,4,11,1,0.5426,0.0474,380.4,pos4,True,True,0.0,0.0,0.0,1.0,1.0,1,baby,baby
subject-1,20,2,non-restrictive,The policeman will search the man,3,8,0,,,,,,,,,,,,0,man,
subject-1,21,46,non-restrictive,The musician will move the violin,3,13,0,,,,,,,,,,,,0,violin,
subject-1,22,16,non-restrictive,The woman will  carry the dress,1,15,2,0.117,0.0535,296.2,pos4,False,True,0.0,0.0,0.0,1.0,0.0,2,dress,ribbon
subject-1,23,18,non-restrictive,The boy will touch the football,3,11,1,0.2069,0.0535,446.3,pos3,True,True,0.0,0.0,1.0,0.0,1.0,2,football,football
subject-1,24,27,restrictive,The boy will dim the lamp,4,8,1,0.1266,0.0403,304.7,pos4,True,True,0.0,0.0,0.0,1.0,1.0,1,lamp,lamp
subject-1,25,13,restrictive,The man will smoke the cigarettes,2,14,1,0.4329,0.0464,358.9,elsewhere,False,False,,,,,,1,cigarettes,elsewhere
subject-1,26,24,non-restrictive,The girl will lift the rabbit,1,13,1,0.2349,0.0535,410.5,pos1,True,True,1.0,0.0,0.0,0.0,1.0,1,rabbit,rabbit
subject-1,27,42,non-restrictive,The woman will wash the shirt,3,11,3,0.0816,0.0198,428.2,elsewhere,False,False,0.0,0.0,0.0,1.0,0.0,3,shirt,elsewhere
subject-1,28,12,non-restrictive,The man will watch the boat,1,11,1,0.5543,0.0669,286.9,pos3,False,True,,,,,,0,boat,sun
subject-1,29,48,non-restrictive,The child will carry the balloon,1,9,0,,,,,,,,,,,,0,balloon,
subject-1,30,49,restrictive,The man will lick the stamp,2,12,1,0.0655,0.0535,306.7,subject,False,False,,,,,,1,stamp,subject
subject-1,31,10,non-restrictive,The man will wipe the washing machine,3,13,2,0.8604,0.0537,344.5,elsewhere,False,False,0.0,0.0,0.0,1.0,0.0,2,washing-machine,elsewhere
subject-1,32,9,restrictive,The woman will read the book,2,10,0,,,,,,,,,,,,0,book,
subject-1,33,37,restrictive,The boy will peel the banana,2,15,0,,,,,,,,,,,,0,banana,
subject-1,34,31,restrictive,The woman will open the bottle,4,15,1,0.4449,0.0139,321.5,pos3,False,True,0.0,0.0,1.0,0.0,0.0,2,bottle,seed
subject-1,35,28,non-restrictive,The cat will push the milk,1,14,1,0.315,0.04,347.2,pos4,False,True,0.0,0.0,0.0,1.0,0.0,1,milk,sock
subject-1,36,33,restrictive,The boy will unzip the suitcase,2,11,2,0.284,0.0337,320.7,subject,False,False,1.0,0.0,0.0,0.0,0.0,2,suitcase,subject
subject-1,37,25,restrictive,The man will paint the canvas,2,17,1,0.3338,0.0464,227.8,pos4,False,True,0.0,0.0,0.0,1.0,0.0,1,canvas,peach
subject-1,38,17,restrictive,The man will chop the wood,2,13,0,,,,,,,,,,,,0,wood,
subject-1,39,14,non-restrictive,The boy will feed the dog,3,14,2,0.0755,0.0469,426.2,pos1,False,True,1.0,0.0,0.0,0.0,0.0,2,dog,ball
subject-1,40,35,restrictive,The girl will apply the mascara,4,17,2,0.0919,0.0269,418.4,elsewhere,False,False,,,,,,2,mascara,elsewhere
subject-1,41,44,non-restrictive,The baker will inspect the dough,1,10,1,0.1651,0.0537,409.5,pos1,True,True,1.0,0.0,0.0,0.0,1.0,1,dough,dough
subject-1,42,11,restrictive,The baby will ring the bell,4,13,0,,,,,,,,,,,,0,bell,
subject-1,43,34,non-restrictive,The boy will move the radio,3,13,1,0.2381,0.0403,530.6,pos3,True,True,0.0,0.0,1.0,0.0,1.0,1,radio,radio
subject-1,44,47,restrictive,The girl will vacuum the carpet,4,7,1,0.1812,0.0737,358.1,pos2,False,True,0.0,1.0,0.0,0.0,0.0,1,carpet,roller
subject-1,45,45,restrictive,The chef will grate the carrot,2,14,0,,,,,,,,,,,,0,carrot,
