id,sentence,image_file,audio_file,objects,role,timeout
0, sentence1,pic1.png,0_r,"['ot1', 'ot2', 'oot3', '0t4']",restrictive,3000
1,The boy will eat the cake,pic2.png,1_r,"['  toy car', ' ball', ' toy train ']",restrictive,3000
2,The woman will drink the wine,pic3.png,2_r,"['  cheese', ' lipstick', ' chair', ' plant ']",restrictive,3000
3,The policeman will arrest the man,pic4.png,3_r,"['  car', ' dustbin', ' houses', ' cat ']",restrictive,3000
4,The woman will bathe the baby,pic5.png,4_r,"['  plant', ' rocking-horse', ' stool ']",restrictive,3000
5,The boy will bounce the ball,pic6.png,5_r,"['  paper plane', ' shuttle-cock', ' acorns', ' bicycle ']",restrictive,3000
6,The hiker will climb the mountain,pic7.png,6_r,"['  animal', ' moon', ' cactus ']",restrictive,3000
7,The housewife will fry the mushrooms,pic8.png,7_r,"['  knife', ' jug', ' weighing scales ']",restrictive,3000
8,The doctor will inject the child,pic9.png,8_r,"['  TV monitor', ' microscope', ' books', ' toy bear ']",restrictive,3000
9,The woman will play the piano ,pic10.png,9_r,"['   table', ' television', ' telephone ']",restrictive,3000
10,The woman will read the book ,pic11.png,10_r,"['   door', ' bag', ' jar', ' cup ']",restrictive,3000
11,The man will repair the washing machine ,pic12.png,11_r,"['   mirror', ' wastebin', ' dog ']",restrictive,3000
12,The baby will ring the bell ,pic13.png,12_r,"['   drum', ' bricks', ' duck ']",restrictive,3000
13,The man will sail the boat ,pic14.png,13_r,"['   birds', ' car', ' sun ']",restrictive,3000
14,The man will smoke the cigarettes ,pic15.png,14_r,"['   filofax', ' glasses', ' briefcase', ' clock ']",restrictive,3000
15,The boy will walk the dog ,pic16.png,15_r,"['   bird', ' pig', ' hen', ' ball  ']",restrictive,3000
16,The businessman will wear the hat ,pic17.png,16_r,"['   wallet', ' folder', ' magnifying glass', ' chair ']",restrictive,3000
17,The woman will wear the dress ,pic18.png,17_r,"['  lantern', ' ribbon', ' backpack ']",restrictive,3000
18,The man will chop the wood ,pic19.png,18_r,"[' bucket', ' rope', ' stone', ' ladder ']",restrictive,3000
19,The boy will kick the football ,pic20.png,19_r,"['  stick', ' leaf', ' feather ']",restrictive,3000
20,The chef will slice the bread ,pic21.png,20_r,"['  spoon', ' bowl', ' spatula', ' tray ']",restrictive,3000
21,The baby will hug the kitten ,pic22.png,21_r,"['  block', ' cup', ' crayon ']",restrictive,3000
22,The woman will water the flower ,pic23.png,22_r,"['  magazine', ' pen', ' cushion', ' vase ']",restrictive,3000
23,The girl will zip the coat ,pic24.png,23_r,"['  hook', ' umbrella', ' towel', ' poster ']",restrictive,3000
24,The girl will knit the scarf ,pic25.png,24_r,"['  pencil', ' card', ' needle ']",restrictive,3000
25,The girl will lift the rabbit ,pic26.png,25_n,"['  flowers', ' plate', ' glass', ' potato ']",non-restrictive,3000
26,The man will move the canvas ,pic27.png,26_n,"['  keyboard', ' jar', ' rope ']",non-restrictive,3000
27,The woman will blow grab the candle ,pic28.png,27_n,"['  package', ' coaster', ' coin', ' string ']",non-restrictive,3000
28,The boy will touch the lamp ,pic29.png,28_n,"['  remote control', ' switch', ' picture', ' frame ']",non-restrictive,3000
29,The cat will push the milk ,pic30.png,29_n,"['  glove', ' sock', ' nut', ' pinecone ']",non-restrictive,3000
30,The grandmother will eadturn the newspaper ,pic31.png,30_n,"['  comb', ' tissue', ' eraser', ' sandal ']",non-restrictive,3000
31,The girl will grab the dice ,pic32.png,31_n,"['  cap', ' headphones', ' watch ']",non-restrictive,3000
32,The woman will examine the bottle ,pic33.png,32_n,"['  lemon', ' seed', ' sponge', ' seat ']",non-restrictive,3000
33,The woman will carry the beer ,pic34.png,33_n,"['  mug', ' sugar', ' kettle', ' biscuit  ']",non-restrictive,3000
34,The boy will open the suitcase ,pic35.png,34_n,"['  envelope', ' gift', ' box', ' trunk ']",non-restrictive,3000
35,The boy will move the radio ,pic36.png,35_n,"['  puzzle', ' toy', ' pillow', ' notebook ']",non-restrictive,3000
36,The girl will squeeze the mascara ,pic37.png,36_n,"['  brush', ' pot', ' mirror', ' clip ']",non-restrictive,3000
37,The kid will stack the lego ,pic38.png,37_n,"['  papers', ' boxes', ' tape', ' clips ']",non-restrictive,3000
38,The boy will move the banana ,pic39.png,38_n,"['  mitten', ' key', ' marker', ' pebble ']",non-restrictive,3000
39,The woman will carry the apron ,pic40.png,39_n,"['  mop', ' cloth', ' broom', ' pail ']",non-restrictive,3000
40,The boy will move the shoelace ,pic41.png,40_n,"['  shampoo', ' buckle', ' mat', ' rag ']",non-restrictive,3000
41,The girl will hold the blouse ,pic42.png,41_n,"['  thread', ' pin', ' iron', ' toothbrush ']",non-restrictive,3000
42,The boy will move the orange ,pic43.png,42_n,"['  stone', ' pod', ' shell', ' cone ']",non-restrictive,3000
43,The woman will wash the shirt ,pic44.png,43_n,"['  apple', ' ruler', ' chalk', ' foam ']",non-restrictive,3000
44,The man will wipe the safe ,pic45.png,44_n,"['  pan', ' handle', ' bolt', ' latch ']",non-restrictive,3000
45,The baker will inspect the dough ,pic46.png,45_n,"['  glass', ' hammer', ' ladle ']",non-restrictive,3000
46,The chef will carry the carrot ,pic47.png,46_n,"['  ladle', ' pot', ' board', ' peeler ']",non-restrictive,3000
47,The musician will move the violin ,pic48.png,47_n,"['  bow', ' stand', ' sheet music', ' gum ']",non-restrictive,3000
48,The girl will move the carpet ,pic49.png,48_n,"['  dustpan', ' footstool', ' roller ']",non-restrictive,3000
49,The child will inlatecarry the balloon ,pic50.png,49_n,"['  pump', ' bead', ' pouch', ' flag ']",non-restrictive,3000
50,The man will pick up the stamp ,pic51.png,50_n,"['  envelope', ' scissors', ' sticker', ' rubber band ']",non-restrictive,3000
51,The girl will eat the pineapple,pic_mismatch_1.png,mismatch_1.wav,"['  envelope', ' scissors', ' sticker', ' rubber band ']",mismatch,3000
