subject_id,trial,sentence,condition,target_object,first_saccade_chosen_object,first_saccade_latency_s,chose_target
subject-1,0,The housewife will  wash the mushrooms,non-restrictive,mushrooms,subject,0.1538,False
subject-1,1,The businessman will wear the hat,restrictive,hat,elsewhere,1.1181,False
subject-1,2,The boy will tie the shoelace,restrictive,shoelace,elsewhere,0.6515,False
subject-1,3,The woman will water the flower,restrictive,flower,subject,0.0782,False
subject-1,4,The woman will carry the apron,non-restrictive,apron,elsewhere,0.1034,False
subject-1,5,The boy will throw the ball,non-restrictive,ball,ball,0.1514,True
subject-1,6,The grandmother will read the newspaper,restrictive,newspaper,elsewhere,0.4275,False
subject-1,7,The girl will knit the scarf,restrictive,scarf,elsewhere,0.2723,False
subject-1,8,The chef will slice the bread,restrictive,bread,elsewhere,0.1109,False
subject-1,9,The girl will hang the coat,non-restrictive,coat,subject,0.0555,False
subject-1,10,The doctor will inject the child,restrictive,child,subject,0.0508,False
subject-1,11,The man will lock the safe,restrictive,safe,elsewhere,0.648,False
subject-1,12,The woman will dust the piano,non-restrictive,piano,piano,0.1495,True
subject-1,13,The girl will grab the dice,non-restrictive,dice,subject,0.6661,False
subject-1,14,The kid will stack the lego,non-restrictive,lego,boxes,1.3092,False
subject-1,15,The baby will grab the kitten,non-restrictive,kitten,kitten,0.6155,True
subject-1,16,The hiker will climb the mountain,restrictive,mountain,elsewhere,0.0738,False
subject-1,17,The woman will drink the wine,restrictive,wine,lipstick,0.1763,False
subject-1,18,The woman will carry the beer,non-restrictive,beer,elsewhere,0.2249,False
subject-1,19,The woman will bathe the baby,restrictive,baby,elsewhere,0.5426,False
subject-1,20,The policeman will search the man,non-restrictive,man,,,False
subject-1,21,The musician will move the violin,non-restrictive,violin,bow,0.8823,False
subject-1,22,The woman will  carry the dress,non-restrictive,dress,ribbon,0.117,False
subject-1,23,The boy will touch the football,non-restrictive,football,football,0.2069,True
subject-1,24,The boy will dim the lamp,restrictive,lamp,elsewhere,0.1266,False
subject-1,25,The man will smoke the cigarettes,restrictive,cigarettes,cigarettes,0.4329,True
subject-1,26,The girl will lift the rabbit,non-restrictive,rabbit,rabbit,0.2349,True
subject-1,27,The woman will wash the shirt,non-restrictive,shirt,elsewhere,0.0816,False
subject-1,28,The man will watch the boat,non-restrictive,boat,sun,0.5543,False
subject-1,29,The child will carry the balloon,non-restrictive,balloon,pouch,1.3352,False
subject-1,30,The man will lick the stamp,restrictive,stamp,subject,0.0655,False
subject-1,31,The man will wipe the washing machine,non-restrictive,washing-machine,subject,0.8604,False
subject-1,32,The woman will read the book,restrictive,book,elsewhere,0.543,False
subject-1,33,The boy will peel the banana,restrictive,banana,elsewhere,0.6227,False
subject-1,34,The woman will open the bottle,restrictive,bottle,seed,0.4449,False
subject-1,35,The cat will push the milk,non-restrictive,milk,elsewhere,0.315,False
subject-1,36,The boy will unzip the suitcase,restrictive,suitcase,subject,0.284,False
subject-1,37,The man will paint the canvas,restrictive,canvas,peach,0.3338,False
subject-1,38,The man will chop the wood,restrictive,wood,bucket,0.8155,False
subject-1,39,The boy will feed the dog,non-restrictive,dog,ball,0.0755,False
subject-1,40,The girl will apply the mascara,restrictive,mascara,elsewhere,0.0919,False
subject-1,41,The baker will inspect the dough,non-restrictive,dough,dough,0.1651,True
subject-1,42,The baby will ring the bell,restrictive,bell,subject,0.4471,False
subject-1,43,The boy will move the radio,non-restrictive,radio,elsewhere,0.2381,False
subject-1,44,The girl will vacuum the carpet,restrictive,carpet,roller,0.1812,False
subject-1,45,The chef will grate the carrot,restrictive,carrot,carrot,0.6527,True
subject-1,46,The woman will blow grab the candle,non-restrictive,candle,elsewhere,0.336,False
subject-1,47,The boy will squeeze the orange,restrictive,orange,stone,0.8619,False
subject-1,48,The boy will move the cake,non-restrictive,cake,elsewhere,0.006,False
subject-1,49,The girl will hold the blouse,non-restrictive,blouse,iron,0.0682,False
subject-10,0,The boy will move the banana,non-restrictive,banana,elsewhere,1.3724,False
subject-10,2,The chef will carry the carrot,non-restrictive,carrot,carrot,0.4671,True
subject-10,3,The girl will move the carpet,non-restrictive,carpet,elsewhere,0.7819,False
subject-10,4,The man will sail the boat,restrictive,boat,elsewhere,0.4583,False
subject-10,5,The hiker will photograph the mountain,non-restrictive,mountain,moon,1.4545,False
subject-10,6,The boy will move the shoelace,non-restrictive,shoelace,mat,0.2544,False
subject-10,7,The baby will hug the kitten,restrictive,kitten,kitten,1.1528,True
subject-10,8,The girl will groom the rabbit,restrictive,rabbit,rabbit,0.9603,True
subject-10,9,The woman will try the wine,non-restrictive,wine,cheese,0.9797,False
subject-10,10,The man will wipe the safe,non-restrictive,safe,handle,0.7213,False
subject-10,11,The woman will blow out the candle,restrictive,candle,elsewhere,0.9327,False
subject-10,12,The woman will play the piano,restrictive,piano,subject,0.6527,False
subject-10,13,The woman will brew the beer,restrictive,beer,subject,0.3906,False
subject-10,14,The woman will wear the dress,restrictive,dress,,,False
subject-10,15,The child will inflate the balloon,restrictive,balloon,subject,0.7317,False
subject-10,16,The woman will open the book,non-restrictive,book,,,False
subject-10,17,The baker will knead the dough,restrictive,dough,dough,0.5996,True
subject-10,18,The boy will kick the football,restrictive,football,football,0.8158,True
subject-10,19,The musician will tune the violin,restrictive,violin,elsewhere,0.7867,False
subject-10,20,The girl will zip the coat,restrictive,coat,subject,0.4358,False
subject-10,21,The man will repair the washing machine,restrictive,washing-machine,wastebin,1.066,False
subject-10,22,The man will pick up the stamp,non-restrictive,stamp,envelope,0.8971,False
subject-10,23,The girl will button the blouse,restrictive,blouse,iron,1.1533,False
subject-10,24,The woman will examine the bottle,non-restrictive,bottle,seed,1.3726,False
subject-10,25,The girl will hold the scarf,non-restrictive,scarf,scarf,0.967,True
subject-10,26,The boy will move the orange,non-restrictive,orange,stone,0.9376,False
subject-10,27,The kid will build the lego,restrictive,lego,lego,0.8836,True
subject-10,28,The boy will touch the lamp,non-restrictive,lamp,elsewhere,0.8256,False
subject-10,29,The housewife will fry the mushrooms,restrictive,mushrooms,weighing-scales,0.9159,False
subject-10,30,The boy will bounce the ball,restrictive,ball,shuttle-cock,1.2727,False
subject-10,31,The chef will clean the bread,non-restrictive,bread,elsewhere,0.9503,False
subject-10,32,The boy will eat the cake,restrictive,cake,elsewhere,0.6613,False
subject-10,33,The woman will tie the apron,restrictive,apron,elsewhere,1.0557,False
subject-10,34,The boy will walk the dog,restrictive,dog,dog,0.7645,True
subject-10,35,The grandmother will eadturn the newspaper,non-restrictive,newspaper,newspaper,1.2664,True
subject-10,36,The woman will sew the shirt,restrictive,shirt,elsewhere,1.0332,False
subject-10,37,The cat will drink the milk,restrictive,milk,elsewhere,0.7664,False
subject-10,38,The woman will touch the baby,non-restrictive,baby,elsewhere,0.4987,False
subject-10,39,The man will move the canvas,non-restrictive,canvas,subject,0.5258,False
subject-10,40,The man will  move the wood,non-restrictive,wood,subject,0.8873,False
subject-10,41,The man will  collect the cigarettes,non-restrictive,cigarettes,elsewhere,1.0229,False
subject-10,42,The doctor will check the child,non-restrictive,child,elsewhere,0.9728,False
subject-10,43,The boy will open the suitcase,non-restrictive,suitcase,subject,1.0535,False
subject-10,44,The woman will move the flower,non-restrictive,flower,subject,0.2234,False
subject-10,45,The businessman will  forget the hat,non-restrictive,hat,subject,1.1379,False
subject-10,46,The baby will kick the bell,non-restrictive,bell,drum,0.9996,False
subject-10,47,The policeman will arrest the man,restrictive,man,elsewhere,0.8569,False
subject-10,48,The girl will roll the dice,restrictive,dice,dice,0.7977,True
subject-10,49,The girl will squeeze the mascara,non-restrictive,mascara,elsewhere,0.6183,False
subject-11,0,The man will wipe the washing machine,non-restrictive,washing-machine,elsewhere,0.9748,False
subject-11,1,The woman will carry the beer,non-restrictive,beer,kettle,0.2582,False
subject-11,2,The boy will feed the dog,non-restrictive,dog,elsewhere,0.7188,False
subject-11,3,The man will lock the safe,restrictive,safe,elsewhere,0.3599,False
subject-11,4,The chef will slice the bread,restrictive,bread,bread,0.8478,True
subject-11,5,The girl will grab the dice,non-restrictive,dice,elsewhere,0.9609,False
subject-11,6,The woman will drink the wine,restrictive,wine,wine,0.9199,True
subject-11,7,The girl will hang the coat,non-restrictive,coat,elsewhere,1.429,False
subject-11,8,The hiker will climb the mountain,restrictive,mountain,elsewhere,0.4358,False
subject-11,9,The grandmother will read the newspaper,restrictive,newspaper,eraser,0.3605,False
subject-11,10,The boy will peel the banana,restrictive,banana,banana,0.7369,True
subject-11,11,The girl will knit the scarf,restrictive,scarf,elsewhere,0.1848,False
subject-11,12,The boy will squeeze the orange,restrictive,orange,elsewhere,0.781,False
subject-11,13,The policeman will search the man,non-restrictive,man,car,0.0129,False
subject-11,14,The girl will hold the blouse,non-restrictive,blouse,subject,0.095,False
subject-11,15,The woman will  carry the dress,non-restrictive,dress,lantern,0.2979,False
subject-11,16,The woman will read the book,restrictive,book,bag,0.0136,False
subject-11,17,The woman will bathe the baby,restrictive,baby,baby,0.9382,True
subject-11,18,The housewife will  wash the mushrooms,non-restrictive,mushrooms,subject,0.536,False
subject-11,19,The woman will water the flower,restrictive,flower,elsewhere,0.4934,False
subject-11,20,The boy will dim the lamp,restrictive,lamp,elsewhere,0.0662,False
subject-11,21,The woman will blow grab the candle,non-restrictive,candle,subject,0.2552,False
subject-11,22,The baker will inspect the dough,non-restrictive,dough,elsewhere,1.3973,False
subject-11,23,The girl will lift the rabbit,non-restrictive,rabbit,potato,0.007,False
subject-11,24,The baby will grab the kitten,non-restrictive,kitten,elsewhere,1.4264,False
subject-11,25,The man will chop the wood,restrictive,wood,elsewhere,0.8019,False
subject-11,26,The woman will dust the piano,non-restrictive,piano,piano,0.2769,True
subject-11,27,The woman will wash the shirt,non-restrictive,shirt,chalk,0.7448,False
subject-11,28,The boy will touch the football,non-restrictive,football,subject,0.7492,False
subject-11,29,The boy will throw the ball,non-restrictive,ball,subject,1.082,False
subject-11,30,The doctor will inject the child,restrictive,child,elsewhere,1.0082,False
subject-11,31,The musician will move the violin,non-restrictive,violin,stand,1.0235,False
subject-11,32,The child will carry the balloon,non-restrictive,balloon,pump,0.0896,False
subject-11,33,The kid will stack the lego,non-restrictive,lego,boxes,1.0212,False
