subject_nr,trial,condition,sentence,target_word,target_position,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_subject,prop_target,target_advantage,fixation_entropy,no_object_gaze,total_window_ms,obj_gaze_ms,sentence_id,audio_id
6,9,restrictive,The boy will eat the cake,cake,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,210.0,0.0,0,0
6,14,restrictive,The woman will drink the wine,wine,4,1.0,0.0,0.0,0.0,0.765775,0.0,-0.333333,0.0,False,273.0,53.08,1,1
6,0,restrictive,The policeman will arrest the man,man,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,210.0,0.0,2,2
6,16,restrictive,The woman will bathe the baby,baby,2,0.581814,0.418186,0.0,0.0,0.0,0.418186,0.224248,0.9806,False,357.0,330.14,3,3
6,27,restrictive,The boy will bounce the ball,ball,3,1.0,0.0,0.0,0.0,0.861022,0.0,-0.333333,0.0,False,231.0,25.59,4,4
6,21,restrictive,The hiker will climb the mountain,mountain,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,189.0,0.0,5,5
6,26,restrictive,The housewife will fry the mushrooms,mushrooms,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,252.0,166.91,6,6
6,22,restrictive,The doctor will inject the child,child,2,1.0,0.0,0.0,0.0,0.0,0.0,-0.333333,0.0,False,231.0,231.0,7,7
6,25,restrictive,The woman will play the piano,piano,3,1.0,0.0,0.0,0.0,0.0,0.0,-0.333333,0.0,False,252.0,252.0,8,8
6,46,restrictive,The woman will read the book,book,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,252.0,0.0,9,9
6,34,restrictive,The man will repair the washing machine,machine,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,840.0,0.0,10,10
6,23,restrictive,The baby will ring the bell,bell,2,1.0,0.0,0.0,0.0,0.0,0.0,-0.333333,0.0,False,189.0,182.17,11,11
6,13,restrictive,The man will sail the boat,boat,3,0.0,1.0,0.0,0.0,0.0,0.0,-0.333333,0.0,False,252.0,245.17,12,12
6,8,restrictive,The man will smoke the cigarettes,cigarettes,4,1.0,0.0,0.0,0.0,0.0,0.0,-0.333333,0.0,False,252.0,252.0,13,13
6,43,restrictive,The boy will walk the dog,dog,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,False,252.0,252.0,14,14
6,20,restrictive,The businessman will wear the hat,hat,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False,273.0,266.16,15,15
6,37,restrictive,The woman will wear the dress,dress,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,273.0,113.49,16,16
6,17,restrictive,The man will chop the wood,wood,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,294.0,0.0,17,17
6,48,restrictive,The boy will kick the football,football,1,0.743236,0.0,0.256764,0.0,0.0,0.743236,0.657647,0.821825,False,273.0,246.14,18,18
6,5,restrictive,The chef will slice the bread,bread,2,0.0,0.0,1.0,0.0,0.0,0.0,-0.333333,0.0,False,231.0,224.65,19,19
6,7,restrictive,The baby will hug the kitten,kitten,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,False,315.0,315.0,20,20
6,45,restrictive,The woman will water the flower,flower,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,273.0,0.0,21,21
6,4,restrictive,The girl will zip the coat,coat,1,0.0,1.0,0.0,0.0,0.0,0.0,-0.333333,0.0,False,252.0,225.43,22,22
6,33,restrictive,The girl will knit the scarf,scarf,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,273.0,0.0,23,23
6,3,restrictive,The girl will groom the rabbit,rabbit,3,1.0,0.0,0.0,0.0,0.81013,0.0,-0.333333,0.0,False,273.0,30.14,24,24
6,31,non-restrictive,The man will move the canvas,canvas,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True,189.0,0.0,25,25
